Company Name,Skill,Title
International Institute of Information Technology,"Counselor, Mentor, Trainer, Advisor, Educator, Teaching",75
"International Institute of Information Technology, Hyderabad",NA,47
Institute for Development and Research in Banking Technology,NA,30
CSC India Pvt Ltd.,"Change management, SAP, Project management, Configuration management...",16
Tata Communications Ltd,"Change management, Technology management, Helpdesk, QOS, Service assurance,...",8
Tata Communications Ltd,"Change management, Helpdesk, QOS, Service assurance, Networking...",8
Finite HR Consulting Private Limited,"Technical product configuration, c++, C, design, MySQL, JavaScript...",4
Axelta Systems Pvt.Ltd,"Wireless, EMI, English, Automation, C++, Online marketing, Presales, EMC...",4
DM CONSULTING (INDIA) PVT LTD,"assembly language, Six Sigma, PMP, C, JavaScript...",4
Evision Technoserve Pvt Ltd,"electronics, python, information technology, eee, ece, automation testing...",3
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Performance tuning, jQuery, Coding, SSRS, Debugging, Javascript, WCF...",3
Spectraforce Technologies (India) Pvt. Ltd.,"us it recruiter, us it recruitment...",3
PEPSI FOODS PRIV LIMITED,"IT services, Supply chain, Automation, Information security, MIS...",3
NEER INTERACTIVE SOLUTIONS (P) Ltd,"erp, it services, information technology, dealing, documentation, english...",3
CSC India Pvt Ltd.,"Interpersonal skills, Business Analyst, Business analysis, Analytical, Test...",3
Technosoft Global Services Pvt Ltd,"international calling, call centre executive, technical support, fresher...",3
Vaave,"Cold calling, IT services, Automation, Email marketing, XML, MySQL, PHP...",3
SRS Business Solutions,"Microsoft Developer, Microsoft Dynamics CRM certifications...",3
Augusta Infotech,"C, Customer focus, Written communication, Programming, Presalesmicrosoft...",3
Deloitte Consulting India Private Limited,"Cism, Java EE, Cloud Security, CCSP, Cloud Foundry, Cissp, CISA, EAI...",2
Wells Fargo India Solutions Pvt. Ltd.,"Business services, SAN, Wealth management, Trade finance, Workflow...",2
Mitratech,"Linux Administration, Java, Websphere Application Server, Automation, SAP...",2
Deloitte Consulting India Private Limited,"Cloud Security, IT Asset Management, Identity Access Management...",2
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Hibernate, Web services, jQuery, Db2, Agile, Asset management...",2
American Technology Consulting,"Product management, Computer science, Payment processing, Analytical, Agile...",2
Deloitte Consulting India Private Limited,"Cism, Cisa, Finance, Relationship Management, ISO 27001...",2
Deloitte Consulting India Private Limited,"Cism, Cisa, Compliance, ISO 27001, Information Security, Cissp...",2
Vistex Asia Pacific Pvt. Ltd.,"sap fico implementation, SAP CO, sap co consultant, profitability analysis,...",2
Bedouin,"trading, trade finance, structured finance, Lending, deal structuring...",2
Deloitte Consulting India Private Limited,"Financial Reporting, Financial Transformation, Finance Function, CMA...",2
Deloitte Consulting India Private Limited,"Learning, C#, Administration, Rest, Xamarin, SQLite, Xamarin.iOS...",2
Micron Technology Operations India LLP,"C#, CSS, Front End, NoSQL, Software Engineering, Web Technologies...",2
Vaave,"Cold calling, IT services, Automation, Email marketing, PHP...",2
VISUALPATH IT SERVICES PRIVATE LIMITED,"Educational Sales, Sales, cold calling, educational business development...",2
Cubic Transportation Systems India Pvt. Ltd.,"ERP, SAP, Networking, Helpdesk, Business analysis, Project management...",2
Cubic Transportation Systems India Pvt. Ltd.,"ERP, SAP, Networking, Helpdesk, Project management, Scheduling...",2
Lares Global Limited,"Analytical skills, Proposal writing, Data analysis, development, analytical...",2
Technosoft Global Services Pvt Ltd,"Validation, callings, Communication Skills, good communication, Excel...",2
Technosoft Global Services Pvt Ltd,"Web Content Management, Campaign management, Web Content...",2
Menlo Technologies,"development, css, software, HTML, it, JIRA, Information technology...",2
Lares Global Limited,"Analytical skills, Bench Sales, Data analysis, Consulting, Wordpress...",2
RISE Pvt. Ltd.,"IT services, LDAP, VPN, XML, Configuration management, Consulting...",2
Technosoft Global Services Pvt Ltd,"tech support, service desk, it support, Technical Support, it helpdesk",2
Tecnics IntegrationTechnologies Pvt. Ltd.,"angular, Algorithms, information technology, performance tuning...",2
Capgemini Technology Services India Limited,"Consultant 4, Disaster recovery, Subject Matter Expert...",2
DXC Technology,"Business administration, Interpersonal skills, Business Analyst...",2
Pegasystems Worldwide India Pvt. Ltd.,"Networking, VPN, Active directory, Agile, Pega, Windows, WiFi...",2
CSC India Pvt Ltd.,"Interpersonal skills, Business Analyst, Professional, Business analysis...",2
CSC India Pvt Ltd.,"Change management, SAP, Performance management, Business analysis...",2
CSC India Pvt Ltd.,"Business administration, Interpersonal skills, Business Analyst...",2
T & A Solutions,"rest, c, code, technical, hr solutions, it, ios, xcode, cocoa...",2
Dell International Services India Private Limited,"Intrusion Detection, Networking, Security+, Network Security...",2
Wells Fargo India Solutions Pvt. Ltd.,"Unix, SAN, Performance tuning, Application support, Asset management...",2
Amazon India Software Dev Centre Pvt Ltd,"IIS, Project management, Debugging, Javascript, Agile, WCF, microsoft...",2
Wells Fargo India Solutions Pvt. Ltd.,"SAN, Data migration, Manager Quality Assurance, Networking, EMC...",2
Novartis Healthcare Pvt. Ltd.,"IT services, Business services, Change management, Business Analyst...",2
Sutherland Global Services Inc,"Computer science, jQuery, Analytical, Javascript, Agile, Microsoft Dynamics...",2
AXCESS CONSULTANCY SERVICES,"Hibernate, Core Java, Web services, Analytical, Agile development...",2
Allegis Services India Pvt. Ltd.,"technical architecture, meeting solutions, unified communications, pbx...",2
Aadvi Tech. Solutions,"Azure, DevOps, WebAPI, Cloud Services, .Net, Cloud Migration...",2
Synchrony International Services Private Limited,"Automation, Assurance, Information security, SOC, Analytical, Consulting...",2
HR Devi and Associates,"assembly language, Six Sigma, PMP, C, JavaScript...",2
Synchrony International Services Private Limited,"Computer science, Maven, GIT, RDBMS, Project management, Analytical, Agile,...",2
Secureworks,"Unix, MS SQL, Coding, Debugging, EMC, Scrum, Informatica, Teradata...",2
ACS Global Tech Solutions Pvt. Ltd.,"Tax Planning, Tax Returns, Accounting, Direct Tax, Finance, Sales Tax...",2
Novartis Healthcare Pvt. Ltd.,"Business process, Business services, Service delivery...",2
Experia Services,"Payroll, Office Administration, statutory compliance, HR consulting...",2
Amazon India Software Dev Centre Pvt Ltd,"Automation, Data modeling, Project management, Agile, Customer service...",2
Hetero Drugs Limited,"SAP Fiori, Odata, CSS, JQuer, SAPUI5, XML, HTML5, MVC Framework, Javascript...",2
Affluent Global Services Pvt. Ltd.,"powershell, powerCLI, server automation, windows server, deployment",2
Amazon India Software Dev Centre Pvt Ltd,"Computer science, Automation, Architecture, Project management...",2
Novartis Healthcare Pvt. Ltd.,"Computer science, Solution architecture, metadata, Data management, PLSQL...",2
Amazon India Software Dev Centre Pvt Ltd,"Computer science, Automation, Architecture, Configuration management...",2
Novartis Healthcare Pvt. Ltd.,"Computer science, Service management, Solution architecture, PMP...",2
"Advanced Micro Devices, Inc.","Telecom, Networking, WAN, Network security, CCNA, Troubleshooting...",2
Riconz Technologies,"Technical Architect, Java, Azure, Cloud, .Net, Cloud Migration, ASP.NET MVC...",1
Spot In Job Consultancy,"HR Administrator, Staffing, Web development, Consultancy...",1
Spot In Job Consultancy,"Drupal, XML, Wordpress, Javascript, PHP, HTML, JSON, Open source, Joomla...",1
Spot In Job Consultancy,"Graphics, Graphic designing, PDF, Illustrator, Staffing, Corel Draw...",1
Roopa Soft LLP,"quantitative skills, be, analytical, software, net technologies, academic...",1
Spot In Job Consultancy,"HR Administrator, PDF, Staffing, Wordpress, Manager Technology, PHP...",1
Roopa Soft LLP,"be, analytical, net technologies, academic...",1
Spot In Job Consultancy,"Front end, Web development, Debugging, CMS, PHP, Troubleshooting, Ruby...",1
Spot In Job Consultancy,"Graphics, PDF, Staffing, Animation, Consultancy, Scheduling...",1
Roopa Soft LLP,"Computer science, Training, System testing, Analytical, Test Associate...",1
Roopa Soft LLP,"Computer science, Training, System testing, Analytical, Software Associate,...",1
Sathguru Management Consultants Pvt Ltd,"Social media marketing, Printing, Public relations, Web analytics...",1
Riconz Technologies,"C#, Cloud Platform AWS, Web API or WCF, Azure, VB.NET, SQL Server...",1
Recruise India Consulting Pvt. Ltd.,"Communication Skills, Design Development, Written Communication, Networking...",1
Spruce IT Pvt. Ltd.,"screening, recruitment, Bench Sales Recruiter, h1b...",1
Quantega,"Computer science, Networking, IT strategy, query, Infrastructure...",1
Quantega,"Computer science, Telecom, Administration, Interpersonal skills, WAN...",1
Quantega,"Front end, Disaster recovery, DBMS, Management, Troubleshooting...",1
Quantega,"Procurement, Computer science, Technical management, Network administration...",1
Quantega,"Unix, JMS, Linux, RDBMS, Oracle, EJB, Open source, Middleware...",1
Quantega,"management information system, Staffing, Organizational development...",1
Quantega,"management, Intellectual property, Strategic planning...",1
Spot In Job Consultancy,"Web development, Debugging, CMS, PHP, HTML, Troubleshooting, Ruby...",1
Spot In Job Consultancy,"Version control, Coding, Staffing, Javascript, HTML, Scheduling...",1
