Source_ID,Source_Name,Author,Title,Description,Content
,Lifehacker.com,Beth Skwarecki,See How AI Stereotypes You,"Computers think they know who you are. Artificial intelligence algorithms can recognize objects from images, even faces. But we rarely get a peek under the hood of facial recognition algorithms. Now, with ImageNet Roulette, we can watch an AI jump to conclusi…","Computers think they know who you are. Artificial intelligence algorithms can recognize objects from images, even faces. But we rarely get a peek under the hood of facial recognition algorithms. Now, with ImageNet Roulette, we can watch an AI jump to conclusi… [+3789 chars]"
,Lifehacker.com,Melissa Kirsch,What's Coming and Going From Netflix in October 2019,"Welcome to October on Netflix, featuring a lot of splashy originals with massive stars that some executive somewhere is gnashing their teeth to powder over, hoping against hope their multimillion-dollar, big-name gambles will become hits. Read more...","Welcome to October on Netflix, featuring a lot of splashy originals with massive stars that some executive somewhere is gnashing their teeth to powder over, hoping against hope their multimillion-dollar, big-name gambles will become hits.
Netflix Originals
… [+5540 chars]"
engadget,Engadget,Igor Bonifacic,Facebook’s latest AI experiment helps you pick what to wear,"Just when you think researchers have found the wackiest possible use for a neural net yet, another team finds an even more novel use for artificial intelligence. Take Facebook's new Fashion++ AI. It's a program that will help you become a fashionista. Faceboo…","Facebook trained Fashion++ by showing the AI thousands of images of outfits that were deemed ""fashionable."" What's innovative about the AI is that it offers suggestions that are subtle. It won't, for example, recommend that you go out of your way to buy an en… [+642 chars]"
engadget,Engadget,Igor Bonifacic,Things get weird when a neural net is trained on text adventure games,"We've seen people turn neural networks to almost everything from drafting pickup lines to a new Harry Potter chapter, but it turns out classic text adventure games may be one of the best fits for AI yet. This latest glimpse into what artificial intelligence c…","The answer is pretty weird. Shane aptly describes the experience as ""dreamlike,"" with the setting frequently, and seemingly without reason, changing from scene to scene. For example, in one playthrough, the AI opened the game with a scene set in space only th… [+1186 chars]"
wired,Wired,Gregory Barber,A Molecule Designed By AI Exhibits 'Druglike' Qualities,Insilico Medicine is among several startups trying to harness artificial intelligence to speed to development of drugs.,"Alex Zhavoronkov, CEO of Insilico Medicine, a startup that generates potential drugs using artificial intelligence, was recently given a challenge by one of his pharma company partners. His team would see how quickly Insilicos AI could identify new molecules … [+3640 chars]"
wired,Wired,Tom Simonite,Behind the Rise of China's Facial-Recognition Giants,"Megvii, one of four highly valued Chinese facial-recognition startups, has filed for an IPO. Most of its revenue comes from surveillance and security systems.","Unfamiliar faces arent welcome at Beijing public housing projects. To prevent illegal subletting, many have facial recognition systems that allow entry only to residents and certain delivery staff, according to state news agency Xinhua. Each of the citys 59 p… [+3840 chars]"
wired,Wired,Melanie Mitchell,AI Can Pass Standardized Tests—But It Would Fail Preschool,"Opinion: Sure, an AI aced an 8th-grade science test, but the method it used highlights its lack of common sense or anything resembling human understanding.","Artificial intelligence researchers have long dreamed of building a computer as knowledgeable and communicative as the one in Star Trek, which could interact with humans in natural (i.e., human) language. Last week, we seemed to boldly go toward that ideal. T… [+8415 chars]"
wired,Wired,"Gary Marcus, Ernest Davis","If Computers Are So Smart, How Come They Can’t Read?","Deep learning excels at learning statistical correlations, but lacks robust ways of understanding how the meanings of sentences relate to their parts.","How did we get into this mess?
Current AI systems are largely powered by a statistical technique called deep learning, and deep learning is very effective at learning correlations, such as correlations between images or sounds and labels. But deep learning s… [+3499 chars]"
wired,Wired,Gregory Barber,Artificial Intelligence Confronts a 'Reproducibility' Crisis,Machine-learning systems are black boxes even to the researchers that build them. That makes it hard for others to assess the results.,"Sometimes, basic information is missing because its proprietaryan issue especially for industry labs. But its more often a sign of the fields failure to keep up with changing methods, Dodge says. A decade ago, it was more straightforward to see what a researc… [+3805 chars]"
wired,Wired,"Brad Smith, Carol Ann Browne",Do Our Faces Deserve the Same Protection as Our Phones?,Facial recognition technology raises a vital question: What role do we want this form of artificial intelligence to play in our society?,"In other scenarios, the benefits are more far­-reaching. In Washington, DC, the National Human Genome Research Institute is using facial recognition to help physicians diagnose a disease known as DiGeorge syndrome, or 22q11.2 deletion syndrome. Its a disease … [+3548 chars]"
wired,Wired,Arielle Pardes,Flirty or Friendzone? New AI Scans Your Texts for True Love,A new class of apps can use machine intelligence to determine if your text conversations are imbued with hidden romantic sparks.,"Lee's first app, called Crushh, promised exactly that. The ""texting relationship analyzer"" offered a romantic interest score on a scale of zero to five, as well as insights on the power dynamics in a conversation (i.e., who likes who more). It also prompted u… [+3650 chars]"
wired,Wired,Gregory Barber,California Bill Would Halt Facial Recognition on Body Cams,A bill approved by the state senate would set a three-year moratorium on police use of recognition algorithms. Privacy advocates want a permanent ban.,"Last month, members of the California legislature were subject to a surveillance experiment, courtesy of the ACLU. Their portraits were fed into Amazons Rekognition facial recognition software and compared with a database of 25,000 arrest mugshots. Twenty-six… [+4193 chars]"
