Source_ID,Source_Name,Author,Title,Description,Content
techcrunch,TechCrunch,Ingrid Lunden,Payments giant Stripe debuts a credit card in its latest step into the financing fray,"Last week, when the popular payments startup Stripe made some waves with its first move into money lending through the launch of Stripe Capital, we reported that the company was also soon going to be launching a credit card. Now, that news is official. Today,…","Last week, when the popular payments startup Stripe made some waves with its first move into money lending through the launch of Stripe Capital, we reported that the company was also soon going to be launching a credit card. Now, that news is official. Today,… [+5191 chars]"
the-next-web,The Next Web,TNW Deals,Learn to handle major data analysis work in Excel for under $20,"So how do you properly do hardcore analytics with Excel? That’s the focus of this comprehensive Microsoft Excel Data Analysis and Dashboard Reporting course. You can train up now for less than the cost of dinner and a movie, just $19.99 from TNW Deals.","TLDR: Excel and elite-level business analytics meet in this all-encompassing training package, now just $19.99.
If youre a numbers nerd, data analysis is where its at. Theres a reason its been one of the most popular and fastest growing jobs in America. Mean… [+1472 chars]"
reuters,Reuters,Hereward Holland,The cool new thing in French haute cuisine? Madagascar caviar,"Jerome Bastide slides an ultrasound wand over the sturgeon’s belly, swiftly extracts a dozen eggs with a thick biopsy needle, and returns the fish to the lake.","LAKE MANTASOA, Madagascar (Reuters) - Jerome Bastide slides an ultrasound wand over the sturgeon’s belly, swiftly extracts a dozen eggs with a thick biopsy needle, and returns the fish to the lake. 
“Perfect for caviar,” he says, lining up the tiny gray orbs… [+3673 chars]"
,R-bloggers.com,George Mount,My upcoming O’Reilly business analytics online training courses,Next week is my first installment of live training offered through O’Reilly Media’s online platform. I’m so excited to partner with this outstanding organization to deliver workshops on business analytics. My first two courses will offer a unique perspective …,"[This article was first published on George J. Mount, and kindly contributed to R-bloggers]. (You can report issue about the content on this page here)
Want to share your content on R-bloggers? click here if you have a blog, or here if you don't.
Next week … [+2030 chars]"
,Venturebeat.com,Kyle Wiggers,Fiddler raises $10.2 million for AI that explains its reasoning,"AI and machine learning algorithms suffer from a ""black box"" problem. Fiddler aims to solve it with a suite of interpretability tools.","Explainable AI, which refers to techniques that attempt to bring transparency to traditionally opaque AI models and their predictions, is a burgeoning subfield of machine learning research. It’s no wonder — models sometimes learn undesirable tricks to accompl… [+3568 chars]"
,Newsrecord.org,Shannon Smith | Chief Reporter,Lindner business analytics program named top degree | News - The News Record,Lindner business analytics program named top degree | News The News Record The University of Cincinnati Lindner College of Business Master of Science in Business Analytics program has been named the top data science degree of 2018...,"The new Carl H. Lindner Hall welcomed students back to classes Aug. 26.
Mitchell Parton | Multimedia Director
The University of Cincinnati Lindner College of Business Master of Science in Business Analytics program has been named the top data science degree… [+3415 chars]"
,Codementor.io,erika,Codementor: Using Python to Build a Web Scrawler Step by Step,"Start writing here...The need for extracting data from websites is increasing. When we are conducting data related projects such as price monitoring, business analytics or news aggregator, we would...","Start writing here...The need for extracting data from websites is increasing. When we are conducting data related projects such as price monitoring, business analytics or news aggregator, we would always need to record the data from websites. However, copyin… [+4989 chars]"
,Dailyiowan.com,Sarah Altemeier,Business analytics program battles disparity between men and women in the field - UI The Daily Iowan,"In an effort to make its Business Analytics undergraduate program more equitable, the University of Iowa hosted a Women in Analytics and Leadership Conference on campus this weekend, for the first time ever. The ratio between men and women involved in the pro…",The University of Iowa Business Analytics undergraduate program hosted its first ever Women in Analytics and Leadership conference this weekend. The conference is one of multiple steps the program is taking to attract women at the same rate as men. In an effo… [+3431 chars]
,Restonnow.com,,Virginia Tech Focuses on Working Professionals - Reston Now,Virginia Tech Focuses on Working Professionals Reston Now Arlington is home to Virginia Tech's 18-month Executive MBA program that's provides hands on experience in topics like business analytics and leadership.,"Virginia Tech has been making local headlines lately with the announcement of its Innovation Campus in the newly-designated neighborhood of National Landing.
While the new campus will help cement the university’s regional footprint, Virginia Tech has been qu… [+1740 chars]"
,Kdnuggets.com,Matt Mayo Editor,"Data Science Symposium 2019, Oct 10-11, Cincinnati","The UC Center for Business Analytics will present the Data Science Symposium 2019 on Oct 10 & 11, featuring 3 keynote speakers and 16 tech talks/tutorials on a wide range of data science topics and tools.","Sponsored Post.
The UC Center for Business Analytics will present the Data Science Symposium 2019 on Oct 10 &amp; 11. This event will be held at the new Lindner College of Business and feature 3 keynote speakers and 16 tech talks/tutorials on a wide range of… [+187 chars]"
